,700.0,705.0,710.0,715.0,720.0,725.0,730.0,735.0,740.0,745.0,750.0,755.0,800.0,805.0,810.0,815.0,820.0,825.0,830.0,835.0,840.0,845.0,850.0,855.0,900.0,905.0,910.0,915.0,920.0,925.0,930.0,935.0,940.0,945.0,950.0,955.0,1700.0,1705.0,1710.0,1715.0,1720.0,1725.0,1730.0,1735.0,1740.0,1745.0,1750.0,1755.0,1800.0,1805.0,1810.0,1815.0,1820.0,1825.0,1830.0,1835.0,1840.0,1845.0,1850.0,1855.0,1900.0,1905.0,1910.0,1915.0,1920.0,1925.0,1930.0,1935.0,1940.0,1945.0,1950.0,1955.0
20170101,17,23,24,34,44,33,43,28,37,39,42,31,38,33,48,43,43,36,51,40,48,72,40,43,50,45,40,65,51,57,69,49,62,56,55,70,109,125,127,129,128,121,111,98,116,105,111,112,115,112,105,110,95,119,103,107,87,96,102,111,95,75,92,83,83,78,105,76,92,95,108,78
20170102,27,27,22,39,20,25,36,27,24,23,39,26,34,24,39,26,40,30,41,38,34,33,39,37,30,53,55,35,44,55,41,59,47,65,49,58,103,111,119,116,110,115,114,100,123,93,103,103,89,79,106,81,87,61,88,92,79,96,93,118,88,65,74,72,87,79,79,70,88,76,90,66
20170103,67,69,92,87,90,65,91,93,76,98,84,87,92,82,74,93,81,66,75,73,85,74,66,57,87,75,80,71,64,62,69,57,54,68,50,68,100,109,111,137,111,106,106,103,105,111,90,105,108,92,116,113,110,116,113,100,100,97,103,101,83,108,86,121,99,84,98,93,75,82,92,68
