rawdate,datestring,fulltime,timestring,,
2017/5/8,20170508,上午 10:35:00,1035,,
2017/5/9,20170509,上午 10:40:00,1040,,
2017/5/10,20170510,上午 10:45:00,1045,,
2017/5/11,20170511,上午 10:50:00,1050,,
2017/5/12,20170512,上午 10:55:00,1055,,
2017/5/13,20170513,上午 11:00:00,1100,,
2017/5/14,20170514,上午 11:05:00,1105,,
2017/5/15,20170515,上午 11:10:00,1110,,
2017/5/16,20170516,上午 11:15:00,1115,,
2017/5/17,20170517,上午 11:20:00,1120,,
2017/5/18,20170518,上午 11:25:00,1125,,
2017/5/19,20170519,上午 11:30:00,1130,,
2017/5/20,20170520,上午 11:35:00,1135,,
2017/5/21,20170521,上午 11:40:00,1140,,
2017/5/22,20170522,上午 11:45:00,1145,,
2017/5/23,20170523,上午 11:50:00,1150,,
2017/5/24,20170524,上午 11:55:00,1155,,
2017/5/25,20170525,下午 12:00:00,1200,,
2017/5/26,20170526,下午 12:05:00,1205,,
2017/5/27,20170527,下午 12:10:00,1210,,
2017/5/28,20170528,下午 12:15:00,1215,,
2017/5/29,20170529,下午 12:20:00,1220,,
2017/5/30,20170530,下午 12:25:00,1225,,
2017/5/31,20170531,下午 12:30:00,1230,,
2017/6/1,20170601,下午 12:35:00,1235,,
2017/6/2,20170602,下午 12:40:00,1240,,
2017/6/3,20170603,下午 12:45:00,1245,,
2017/6/4,20170604,下午 12:50:00,1250,,
2017/6/5,20170605,下午 12:55:00,1255,,
2017/6/6,20170606,下午 01:00:00,1300,,
2017/6/7,20170607,下午 01:05:00,1305,,
2017/6/8,20170608,下午 01:10:00,1310,,
2017/6/9,20170609,下午 01:15:00,1315,,
2017/6/10,20170610,下午 01:20:00,1320,,
2017/6/11,20170611,下午 01:25:00,1325,,
2017/6/12,20170612,下午 01:30:00,1330,,
2017/6/13,20170613,下午 01:35:00,1335,,
2017/6/14,20170614,下午 01:40:00,1340,,
2017/6/15,20170615,下午 01:45:00,1345,,
2017/6/16,20170616,下午 01:50:00,1350,,
2017/6/17,20170617,下午 01:55:00,1355,,
2017/6/18,20170618,下午 02:00:00,1400,,
2017/6/19,20170619,下午 02:05:00,1405,,
2017/6/20,20170620,下午 02:10:00,1410,,
2017/6/21,20170621,下午 02:15:00,1415,,
2017/6/22,20170622,下午 02:20:00,1420,,
2017/6/23,20170623,下午 02:25:00,1425,,
2017/6/24,20170624,下午 02:30:00,1430,,
2017/6/25,20170625,下午 02:35:00,1435,,
2017/6/26,20170626,下午 02:40:00,1440,,
2017/6/27,20170627,下午 02:45:00,1445,,
2017/6/28,20170628,下午 02:50:00,1450,,
2017/6/29,20170629,下午 02:55:00,1455,,
2017/6/30,20170630,下午 03:00:00,1500,,
2017/7/1,20170701,下午 03:05:00,1505,,
2017/7/2,20170702,下午 03:10:00,1510,,
2017/7/3,20170703,下午 03:15:00,1515,,
2017/7/4,20170704,下午 03:20:00,1520,,
2017/7/5,20170705,下午 03:25:00,1525,,
2017/7/6,20170706,下午 03:30:00,1530,,
2017/7/7,20170707,下午 03:35:00,1535,,
2017/7/8,20170708,下午 03:40:00,1540,,
2017/7/9,20170709,下午 03:45:00,1545,,
2017/7/10,20170710,下午 03:50:00,1550,,
2017/7/11,20170711,下午 03:55:00,1555,,
2017/7/12,20170712,下午 04:00:00,1600,,
2017/7/13,20170713,下午 04:05:00,1605,,
2017/7/14,20170714,下午 04:10:00,1610,,
2017/7/15,20170715,下午 04:15:00,1615,,
2017/7/16,20170716,下午 04:20:00,1620,,
2017/7/17,20170717,下午 04:25:00,1625,,
2017/7/18,20170718,下午 04:30:00,1630,,
2017/7/19,20170719,下午 04:35:00,1635,,
2017/7/20,20170720,下午 04:40:00,1640,,
2017/7/21,20170721,下午 04:45:00,1645,,
2017/7/22,20170722,下午 04:50:00,1650,,
2017/7/23,20170723,下午 04:55:00,1655,,
2017/7/24,20170724,下午 05:00:00,1700,,
2017/7/25,20170725,下午 05:05:00,1705,,
2017/7/26,20170726,下午 05:10:00,1710,,
2017/7/27,20170727,下午 05:15:00,1715,,
2017/7/28,20170728,下午 05:20:00,1720,,
2017/7/29,20170729,下午 05:25:00,1725,,
2017/7/30,20170730,下午 05:30:00,1730,,
2017/7/31,20170731,下午 05:35:00,1735,,
2017/8/1,20170801,下午 05:40:00,1740,,
2017/8/2,20170802,下午 05:45:00,1745,,
2017/8/3,20170803,下午 05:50:00,1750,,
2017/8/4,20170804,下午 05:55:00,1755,,
2017/8/5,20170805,下午 06:00:00,1800,,
2017/8/6,20170806,下午 06:05:00,1805,,
2017/8/7,20170807,下午 06:10:00,1810,,
2017/8/8,20170808,下午 06:15:00,1815,,
2017/8/9,20170809,下午 06:20:00,1820,,
2017/8/10,20170810,下午 06:25:00,1825,,
2017/8/11,20170811,下午 06:30:00,1830,,
2017/8/12,20170812,下午 06:35:00,1835,,
2017/8/13,20170813,下午 06:40:00,1840,,
2017/8/14,20170814,下午 06:45:00,1845,,
2017/8/15,20170815,下午 06:50:00,1850,,
2017/8/16,20170816,下午 06:55:00,1855,,
2017/8/17,20170817,下午 07:00:00,1900,,
2017/8/18,20170818,下午 07:05:00,1905,,
2017/8/19,20170819,下午 07:10:00,1910,,
2017/8/20,20170820,下午 07:15:00,1915,,
2017/8/21,20170821,下午 07:20:00,1920,,
2017/8/22,20170822,下午 07:25:00,1925,,
2017/8/23,20170823,下午 07:30:00,1930,,
2017/8/24,20170824,下午 07:35:00,1935,,
2017/8/25,20170825,下午 07:40:00,1940,,
2017/8/26,20170826,下午 07:45:00,1945,,
2017/8/27,20170827,下午 07:50:00,1950,,
2017/8/28,20170828,下午 07:55:00,1955,,
2017/8/29,20170829,下午 08:00:00,2000,,
2017/8/30,20170830,下午 08:05:00,2005,,
2017/8/31,20170831,下午 08:10:00,2010,,
2017/9/1,20170901,下午 08:15:00,2015,,
2017/9/2,20170902,下午 08:20:00,2020,,
2017/9/3,20170903,下午 08:25:00,2025,,
2017/9/4,20170904,下午 08:30:00,2030,,
2017/9/5,20170905,下午 08:35:00,2035,,
2017/9/6,20170906,下午 08:40:00,2040,,
2017/9/7,20170907,下午 08:45:00,2045,,
2017/9/8,20170908,下午 08:50:00,2050,,
2017/9/9,20170909,下午 08:55:00,2055,,
2017/9/10,20170910,下午 09:00:00,2100,,
2017/9/11,20170911,下午 09:05:00,2105,,
