,700.0,705.0,710.0,715.0,720.0,725.0,730.0,735.0,740.0,745.0,750.0,755.0,800.0,805.0,810.0,815.0,820.0,825.0,830.0,835.0,840.0,845.0,850.0,855.0,900.0,905.0,910.0,915.0,920.0,925.0,930.0,935.0,940.0,945.0,950.0,955.0,1700.0,1705.0,1710.0,1715.0,1720.0,1725.0,1730.0,1735.0,1740.0,1745.0,1750.0,1755.0,1800.0,1805.0,1810.0,1815.0,1820.0,1825.0,1830.0,1835.0,1840.0,1845.0,1850.0,1855.0,1900.0,1905.0,1910.0,1915.0,1920.0,1925.0,1930.0,1935.0,1940.0,1945.0,1950.0,1955.0
20170101,15,30,19,21,22,17,28,27,31,35,30,19,28,29,39,34,38,21,39,30,35,36,39,30,43,46,36,32,40,36,39,37,53,44,47,26,29,43,73,67,68,82,66,64,64,71,72,74,75,81,75,57,73,70,72,66,67,70,61,68,76,65,66,70,76,76,70,71,56,69,64,42
20170102,32,26,26,22,30,28,33,31,32,41,25,44,52,33,26,37,38,39,45,33,38,51,41,41,47,55,31,60,41,65,57,51,57,43,52,54,61,76,67,65,79,72,76,71,76,62,71,74,70,71,80,82,65,57,74,79,68,66,75,73,66,75,68,71,74,73,71,73,80,64,63,67
20170103,48,38,34,31,38,43,24,51,46,46,35,46,52,45,39,39,51,39,39,35,29,31,42,26,31,36,37,41,30,27,27,36,50,29,35,35,55,46,59,56,57,47,48,54,68,41,62,62,61,50,67,21,47,36,30,38,43,37,25,33,30,37,32,28,41,34,25,30,22,29,24,30
