,700.0,705.0,710.0,715.0,720.0,725.0,730.0,735.0,740.0,745.0,750.0,755.0,800.0,805.0,810.0,815.0,820.0,825.0,830.0,835.0,840.0,845.0,850.0,855.0,900.0,905.0,910.0,915.0,920.0,925.0,930.0,935.0,940.0,945.0,950.0,955.0,1700.0,1705.0,1710.0,1715.0,1720.0,1725.0,1730.0,1735.0,1740.0,1745.0,1750.0,1755.0,1800.0,1805.0,1810.0,1815.0,1820.0,1825.0,1830.0,1835.0,1840.0,1845.0,1850.0,1855.0,1900.0,1905.0,1910.0,1915.0,1920.0,1925.0,1930.0,1935.0,1940.0,1945.0,1950.0,1955.0
20170101,14,12,11,17,11,11,15,14,20,19,16,17,14,17,14,20,10,16,20,19,23,22,16,20,19,23,23,20,27,19,24,30,32,20,22,24,22,27,38,29,33,27,35,28,29,33,42,36,39,43,33,27,33,29,26,28,27,35,24,19,33,33,37,32,29,33,27,43,32,25,44,27
20170102,15,14,14,17,7,17,8,17,14,12,14,14,12,20,9,14,28,14,12,13,8,16,13,25,14,20,24,20,18,23,17,22,20,27,18,30,35,24,26,48,34,35,39,39,31,37,36,33,28,26,28,35,38,18,24,29,21,21,32,39,27,28,34,37,36,25,23,27,37,21,26,27
20170103,42,26,49,30,38,21,39,37,47,38,37,20,26,21,35,23,36,28,34,18,30,27,28,31,21,38,34,24,33,27,30,27,38,28,36,38,39,28,63,41,59,36,56,21,57,44,53,41,77,53,64,56,60,58,68,48,70,58,79,44,55,43,54,38,66,40,36,37,49,26,46,24
