,700.0,705.0,710.0,715.0,720.0,725.0,730.0,735.0,740.0,745.0,750.0,755.0,800.0,805.0,810.0,815.0,820.0,825.0,830.0,835.0,840.0,845.0,850.0,855.0,900.0,905.0,910.0,915.0,920.0,925.0,930.0,935.0,940.0,945.0,950.0,955.0,1700.0,1705.0,1710.0,1715.0,1720.0,1725.0,1730.0,1735.0,1740.0,1745.0,1750.0,1755.0,1800.0,1805.0,1810.0,1815.0,1820.0,1825.0,1830.0,1835.0,1840.0,1845.0,1850.0,1855.0,1900.0,1905.0,1910.0,1915.0,1920.0,1925.0,1930.0,1935.0,1940.0,1945.0,1950.0,1955.0
20170101,43,56,52,69,58,70,54,65,69,58,52,69,44,52,64,64,70,74,58,73,83,80,68,79,80,66,82,88,74,83,95,92,73,84,84,85,127,151,132,125,126,139,116,145,144,140,139,131,120,137,118,123,121,115,115,119,102,106,117,118,112,112,119,121,112,105,111,104,115,129,118,110
20170102,47,59,65,64,63,53,55,58,62,61,61,49,56,46,68,50,69,58,59,83,70,66,71,71,74,65,96,77,84,88,86,87,91,76,86,82,122,121,143,147,130,124,140,147,133,126,125,123,118,140,123,138,110,121,117,122,117,99,118,103,112,92,114,118,120,109,119,106,117,120,101,113
20170103,163,147,167,157,157,153,158,137,145,150,162,169,151,160,160,151,146,140,149,149,131,128,128,127,113,116,117,95,112,116,109,114,121,114,110,105,106,131,130,121,142,129,147,149,123,133,127,135,127,132,119,127,117,138,125,119,115,101,95,96,85,74,77,82,75,90,74,70,70,77,64,85
